dataset,model_type,splitmerge,noc,maxiter_gibbs,maxiter_eta0,maxiter_alpha,exp_name_list,n_exp
hcp,parametric,False,2,100,10,100,"['hcp_2023-09-20 04:21:55.735500', 'hcp_2023-10-28 21:00:53.998103', 'hcp_2023-10-19 02:07:11.790490', 'hcp_2023-09-18 09:48:25.215772', 'hcp_2023-10-14 14:39:36.231627', 'hcp_2023-09-29 22:46:07.879087', 'hcp_2023-10-22 09:37:36.896991', 'hcp_2023-09-10 22:02:27.353790', 'hcp_2023-10-25 12:12:15.811671', 'hcp_2023-10-05 02:44:27.930069', 'hcp_2023-09-25 15:45:40.230600']",11
hcp,parametric,False,1,100,10,100,"['hcp_2023-10-18 22:37:23.775955', 'hcp_2023-10-14 11:39:04.364931', 'hcp_2023-10-22 06:33:33.683866', 'hcp_2023-10-04 23:42:26.618010', 'hcp_2023-09-29 19:40:58.961294', 'hcp_2023-09-18 09:48:25.216780', 'hcp_2023-09-20 01:16:01.351412', 'hcp_2023-10-25 09:08:55.812235', 'hcp_2023-09-25 12:41:04.396669', 'hcp_2023-10-28 17:49:12.651778']",10
hcp,parametric,False,3,100,10,100,"['hcp_2023-09-30 09:26:16.253312', 'hcp_2023-10-19 12:44:58.302318', 'hcp_2023-10-15 07:26:59.283737', 'hcp_2023-09-18 09:48:25.213058', 'hcp_2023-10-25 22:49:04.936179', 'hcp_2023-10-29 07:06:39.764198', 'hcp_2023-09-26 02:17:27.597483', 'hcp_2023-10-05 13:24:26.266983', 'hcp_2023-10-22 20:25:32.960349', 'hcp_2023-09-20 15:06:24.482318']",10
hcp,parametric,False,4,100,10,100,"['hcp_2023-10-23 03:40:20.163752', 'hcp_2023-09-30 20:31:10.635388', 'hcp_2023-09-20 20:41:52.195460', 'hcp_2023-09-26 13:28:59.906254', 'hcp_2023-10-26 05:50:44.944482', 'hcp_2023-09-18 09:48:25.214279', 'hcp_2023-10-20 00:00:55.678665', 'hcp_2023-10-29 13:50:21.487174', 'hcp_2023-10-13 06:38:59.875187', 'hcp_2023-10-15 11:43:41.436090']",10
hcp,parametric,False,9,100,10,100,"['hcp_2023-10-16 21:51:45.303258', 'hcp_2023-10-21 10:45:11.088760', 'hcp_2023-10-30 21:22:38.995376', 'hcp_2023-09-19 01:38:08.537466', 'hcp_2023-10-02 07:45:09.747288', 'hcp_2023-10-13 19:44:01.800024', 'hcp_2023-10-24 10:33:30.654395', 'hcp_2023-09-22 05:08:36.891533', 'hcp_2023-09-27 19:25:11.639684', 'hcp_2023-10-27 13:12:29.132631']",10
hcp,parametric,False,8,100,10,100,"['hcp_2023-10-21 01:39:29.452276', 'hcp_2023-09-21 22:11:18.114815', 'hcp_2023-09-27 14:56:35.717415', 'hcp_2023-09-18 21:47:47.366212', 'hcp_2023-10-24 05:09:37.257658', 'hcp_2023-10-13 18:41:27.765681', 'hcp_2023-10-30 15:30:05.773041', 'hcp_2023-10-16 13:11:26.074752', 'hcp_2023-10-27 07:35:43.670361', 'hcp_2023-10-01 21:57:33.723825']",10
hcp,parametric,False,50,100,10,100,"['hcp_2023-10-28 13:44:54.855109', 'hcp_2023-10-22 01:52:25.854402', 'hcp_2023-10-31 12:19:50.818149', 'hcp_2023-09-28 20:44:18.638709', 'hcp_2023-09-19 12:10:01.511689', 'hcp_2023-10-25 01:32:58.141756', 'hcp_2023-10-14 08:32:00.501744', 'hcp_2023-10-03 04:18:17.450882', 'hcp_2023-10-18 00:28:56.179406', 'hcp_2023-09-23 04:17:40.771154']",10
hcp,parametric,False,100,100,10,100,"['hcp_2023-09-24 04:57:05.365706', 'hcp_2023-09-29 10:45:44.992713', 'hcp_2023-10-14 10:42:12.560631', 'hcp_2023-09-19 16:32:45.658251', 'hcp_2023-10-04 08:30:08.216757']",5
hcp,parametric,False,5,100,10,100,"['hcp_2023-10-01 04:59:13.278551', 'hcp_2023-10-29 18:31:37.712400', 'hcp_2023-09-18 12:56:49.762929', 'hcp_2023-10-26 10:07:45.449188', 'hcp_2023-10-15 19:12:10.715136', 'hcp_2023-09-11 08:45:22.726611', 'hcp_2023-10-13 06:38:59.877723', 'hcp_2023-09-26 16:36:40.276662', 'hcp_2023-09-21 02:20:48.788581', 'hcp_2023-10-20 11:34:31.235589', 'hcp_2023-10-23 07:35:59.429307']",11
hcp,parametric,False,7,100,10,100,"['hcp_2023-09-18 21:04:17.809889', 'hcp_2023-10-01 17:51:01.679228', 'hcp_2023-10-13 06:38:59.879909', 'hcp_2023-10-30 07:19:07.015694', 'hcp_2023-09-21 15:02:48.017544', 'hcp_2023-10-26 22:59:49.699908', 'hcp_2023-10-21 00:11:30.361291', 'hcp_2023-10-16 07:57:48.318718', 'hcp_2023-09-27 05:25:47.269037', 'hcp_2023-10-23 20:31:30.537309']",10
