dataset,N,K,S1,S2,Nc_type,alpha,model_type,splitmerge,noc,maxiter_gibbs,maxiter_eta0,maxiter_alpha,exp_name_list,n_exp
synthetic,100,2,5,5,balanced,0.6,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:41.884989', 'synthetic_2023-09-27 20:44:55.061597', 'synthetic_2023-09-27 22:45:12.123794', 'synthetic_2023-09-27 20:44:34.545727', 'synthetic_2023-09-27 20:45:25.868768', 'synthetic_2023-09-27 22:44:44.286680', 'synthetic_2023-09-27 22:45:48.371705', 'synthetic_2023-09-27 20:45:06.801448', 'synthetic_2023-09-27 22:45:25.349000', 'synthetic_2023-09-27 22:45:03.504560']",10
synthetic,100,10,5,5,unbalanced,0.5,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:46:00.299672', 'synthetic_2023-09-27 22:45:53.666164', 'synthetic_2023-09-27 20:45:56.928231', 'synthetic_2023-09-27 22:45:23.966295', 'synthetic_2023-09-27 20:45:17.731175', 'synthetic_2023-09-27 20:45:35.120435', 'synthetic_2023-09-27 22:44:47.268400', 'synthetic_2023-09-27 20:45:02.992970', 'synthetic_2023-09-27 22:45:04.959156', 'synthetic_2023-09-27 20:44:44.499938']",10
synthetic,100,2,5,5,unbalanced,0.5,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:48.557156', 'synthetic_2023-09-27 20:44:40.312875', 'synthetic_2023-09-27 20:44:53.248869', 'synthetic_2023-09-27 20:45:43.533452', 'synthetic_2023-09-27 22:45:03.513182', 'synthetic_2023-09-27 22:44:44.298421', 'synthetic_2023-09-27 22:45:32.312795', 'synthetic_2023-09-27 22:45:11.138749', 'synthetic_2023-09-27 20:45:33.989063', 'synthetic_2023-09-27 20:45:08.343952']",10
synthetic,100,2,5,5,balanced,0.9,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:12.338733', 'synthetic_2023-09-27 20:44:55.062270', 'synthetic_2023-09-27 20:45:43.681696', 'synthetic_2023-09-27 20:44:34.552151', 'synthetic_2023-09-27 22:45:28.570147', 'synthetic_2023-09-27 22:45:48.528600', 'synthetic_2023-09-27 20:45:25.881830', 'synthetic_2023-09-27 22:44:44.293842', 'synthetic_2023-09-27 22:45:03.510269', 'synthetic_2023-09-27 20:45:08.348070']",10
synthetic,100,5,5,5,balanced,0.3,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:47.260418', 'synthetic_2023-09-27 22:45:33.401061', 'synthetic_2023-09-27 20:44:40.303343', 'synthetic_2023-09-27 20:45:15.520979', 'synthetic_2023-09-27 22:44:57.265796', 'synthetic_2023-09-27 20:45:43.730378', 'synthetic_2023-09-27 20:45:31.730829', 'synthetic_2023-09-27 22:45:15.574412', 'synthetic_2023-09-27 22:44:43.123338', 'synthetic_2023-09-27 20:45:01.289999']",10
synthetic,100,5,5,5,balanced,0.7,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:31.720391', 'synthetic_2023-09-27 22:44:55.845919', 'synthetic_2023-09-27 22:45:48.574726', 'synthetic_2023-09-27 22:45:15.578713', 'synthetic_2023-09-27 20:45:01.289357', 'synthetic_2023-09-27 22:44:43.139653', 'synthetic_2023-09-27 22:45:53.004623', 'synthetic_2023-09-27 20:45:12.508465', 'synthetic_2023-09-27 20:45:17.517592', 'synthetic_2023-09-27 20:45:51.217130']",10
synthetic,100,5,5,5,unbalanced,0.7,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:02.998385', 'synthetic_2023-09-27 22:45:16.278334', 'synthetic_2023-09-27 22:44:44.916603', 'synthetic_2023-09-27 20:45:14.304241', 'synthetic_2023-09-27 20:45:50.104798', 'synthetic_2023-09-27 22:45:55.167634', 'synthetic_2023-09-27 22:44:58.981431', 'synthetic_2023-09-27 22:45:34.587183', 'synthetic_2023-09-27 20:45:12.510845', 'synthetic_2023-09-27 20:45:28.939329']",10
synthetic,100,10,5,5,unbalanced,0.6,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:17.854620', 'synthetic_2023-09-27 22:45:04.961989', 'synthetic_2023-09-27 22:44:48.283474', 'synthetic_2023-09-27 22:45:53.654704', 'synthetic_2023-09-27 22:45:23.968899', 'synthetic_2023-09-27 22:45:58.143433', 'synthetic_2023-09-27 20:45:35.119662', 'synthetic_2023-09-27 20:44:44.500710', 'synthetic_2023-09-27 20:45:17.152105', 'synthetic_2023-09-27 20:45:51.737101']",10
synthetic,100,2,5,5,unbalanced,0.1,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:44:44.282920', 'synthetic_2023-09-27 20:44:34.544274', 'synthetic_2023-09-27 22:45:28.571422', 'synthetic_2023-09-27 22:45:12.316381', 'synthetic_2023-09-27 22:45:48.692853', 'synthetic_2023-09-27 20:45:25.789427', 'synthetic_2023-09-27 20:45:02.995938', 'synthetic_2023-09-27 20:45:08.346961', 'synthetic_2023-09-27 22:45:03.516518', 'synthetic_2023-09-27 20:45:43.530968']",10
synthetic,100,2,5,5,balanced,0.5,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:25.347639', 'synthetic_2023-09-27 20:44:55.059924', 'synthetic_2023-09-27 20:44:34.551544', 'synthetic_2023-09-27 20:45:41.887909', 'synthetic_2023-09-27 22:44:44.291452', 'synthetic_2023-09-27 20:45:25.857617', 'synthetic_2023-09-27 22:45:12.315952', 'synthetic_2023-09-27 20:45:06.916839', 'synthetic_2023-09-27 22:45:48.518990', 'synthetic_2023-09-27 22:45:03.510228']",10
synthetic,100,2,5,5,unbalanced,0.6,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:03.512991', 'synthetic_2023-09-27 20:44:40.315156', 'synthetic_2023-09-27 22:44:44.295517', 'synthetic_2023-09-27 20:45:43.532115', 'synthetic_2023-09-27 20:45:08.339444', 'synthetic_2023-09-27 22:45:48.633085', 'synthetic_2023-09-27 20:45:27.465173', 'synthetic_2023-09-27 22:45:11.136797', 'synthetic_2023-09-27 22:45:32.305723', 'synthetic_2023-09-27 20:44:53.251246']",10
synthetic,100,2,5,5,balanced,0.2,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:20.877456', 'synthetic_2023-09-27 22:45:12.338253', 'synthetic_2023-09-27 20:44:34.552959', 'synthetic_2023-09-27 22:45:03.508152', 'synthetic_2023-09-27 20:45:41.886598', 'synthetic_2023-09-27 22:45:25.349761', 'synthetic_2023-09-27 20:44:47.496352', 'synthetic_2023-09-27 20:45:06.854993', 'synthetic_2023-09-27 22:44:41.356476', 'synthetic_2023-09-27 22:45:53.003626']",10
synthetic,100,2,5,5,unbalanced,0.7,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:44:40.307350', 'synthetic_2023-09-27 22:46:08.560767', 'synthetic_2023-09-27 20:45:27.465897', 'synthetic_2023-09-27 20:44:53.246684', 'synthetic_2023-09-27 22:44:52.945021', 'synthetic_2023-09-27 20:45:43.532760', 'synthetic_2023-09-27 22:44:44.293980', 'synthetic_2023-09-27 20:45:08.340699', 'synthetic_2023-09-27 22:45:11.139661', 'synthetic_2023-09-27 22:45:32.411629']",10
synthetic,100,5,5,5,unbalanced,0.1,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:48.824120', 'synthetic_2023-09-27 22:45:48.576195', 'synthetic_2023-09-27 20:45:15.521118', 'synthetic_2023-09-27 20:45:12.507421', 'synthetic_2023-09-27 22:45:09.370689', 'synthetic_2023-09-27 22:44:43.123523', 'synthetic_2023-09-27 20:45:01.291975', 'synthetic_2023-09-27 22:45:33.401537', 'synthetic_2023-09-27 22:45:13.176252', 'synthetic_2023-09-27 20:45:31.728230']",10
synthetic,100,5,5,5,balanced,0.2,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:47.258440', 'synthetic_2023-09-27 22:45:15.275074', 'synthetic_2023-09-27 20:45:01.281652', 'synthetic_2023-09-27 22:45:32.229800', 'synthetic_2023-09-27 20:45:25.887829', 'synthetic_2023-09-27 22:44:43.145190', 'synthetic_2023-09-27 20:44:40.306379', 'synthetic_2023-09-27 20:45:43.857023', 'synthetic_2023-09-27 22:44:57.265671', 'synthetic_2023-09-27 20:45:15.519842']",10
synthetic,100,5,5,5,unbalanced,0.4,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:51.016147', 'synthetic_2023-09-27 22:44:57.960951', 'synthetic_2023-09-27 20:45:29.005681', 'synthetic_2023-09-27 22:45:17.001497', 'synthetic_2023-09-27 20:45:13.811018', 'synthetic_2023-09-27 20:45:50.107883', 'synthetic_2023-09-27 20:45:12.508297', 'synthetic_2023-09-27 20:45:02.990824', 'synthetic_2023-09-27 22:44:43.144110', 'synthetic_2023-09-27 22:45:53.010409']",10
synthetic,100,5,5,5,balanced,0.9,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:12.170003', 'synthetic_2023-09-27 22:45:51.202263', 'synthetic_2023-09-27 20:45:01.283102', 'synthetic_2023-09-27 20:45:27.838231', 'synthetic_2023-09-27 22:44:57.960307', 'synthetic_2023-09-27 22:44:43.145859', 'synthetic_2023-09-27 22:45:32.413826', 'synthetic_2023-09-27 22:45:33.404534', 'synthetic_2023-09-27 20:45:46.617721', 'synthetic_2023-09-27 20:45:12.511484']",10
